Object,Neighbor,Distance
33,36,9.928467
36,33,9.928467
51,52,14.565056
52,51,14.565056
95,104,9.251808
104,95,9.251808
160,167,14.29915
167,160,14.29915
188,199,11.740153
199,188,11.740153
199,214,12.80932
213,218,13.686439
214,199,12.80932
218,213,13.686439
226,232,10.987955
232,226,10.987955
354,368,8.9411
368,354,8.9411
370,388,14.604006
388,370,14.604006
395,418,14.876406
412,419,9.011269
418,395,14.876406
419,412,9.011269
511,525,11.057059
525,511,11.057059
545,567,14.489465
567,545,14.489465
586,596,10.0365
596,586,10.0365
633,643,8.924232
643,633,8.924232
647,665,14.932274
650,664,13.439123
664,650,13.439123
665,647,14.932274
672,684,14.663082
684,672,14.663082
686,707,13.581564
707,686,13.581564
756,770,14.52119
770,756,14.52119
783,796,6.487306
783,788,10.391407
783,810,13.134996
783,792,13.561793
788,783,10.391407
788,810,12.558119
792,796,7.7786603
792,783,13.561793
796,792,7.7786603
796,810,13.441702
796,783,6.487306
810,783,13.134996
810,831,7.8880095
810,796,13.441702
810,788,12.558119
831,810,7.8880095
833,834,6.55415
834,833,6.55415
909,935,11.338207
909,918,10.196084
918,909,10.196084
918,935,10.79388
922,949,14.652688
935,918,10.79388
935,909,11.338207
949,922,14.652688
959,971,13.451019
961,998,14.5960245
963,987,11.668288
971,959,13.451019
973,997,10.747699
987,963,11.668288
997,973,10.747699
998,961,14.5960245
1079,1093,13.713905
1093,1079,13.713905
1100,1117,12.474197
1117,1100,12.474197
1126,1146,10.011235
1146,1126,10.011235
1198,1206,13.483956
1198,1209,12.733325
1206,1198,13.483956
1209,1198,12.733325
1229,1258,11.398786
1235,1260,14.818386
1238,1266,12.349508
1258,1229,11.398786
1260,1235,14.818386
1265,1288,9.028537
1266,1238,12.349508
1273,1298,10.845074
1288,1265,9.028537
1289,1310,10.982068
1291,1329,14.046127
1298,1273,10.845074
1308,1328,14.921413
1310,1289,10.982068
1314,1345,13.152365
1328,1308,14.921413
1329,1291,14.046127
1345,1314,13.152365
1348,1392,14.8729315
1350,1369,13.478406
1358,1374,14.626344
1362,1363,14.834823
1363,1362,14.834823
1368,1407,14.250745
1369,1350,13.478406
1374,1358,14.626344
1392,1348,14.8729315
1407,1368,14.250745
1407,1440,13.14929
1440,1407,13.14929
1450,1481,13.1471815
1465,1496,11.416143
1467,1504,12.805938
1472,1491,14.971335
1481,1450,13.1471815
1491,1472,14.971335
1496,1465,11.416143
1496,1544,14.298425
1498,1537,11.627781
1504,1467,12.805938
1507,1530,9.950101
1530,1507,9.950101
1537,1498,11.627781
1544,1558,12.233215
1544,1496,14.298425
